RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2026-02-06 22:38:05.4084092,223,Info,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""1""},{""@Name"":""SchemaVersion"",""#text"":""29696""},{""@Name"":""Filename"",""#text"":""C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\StateRepository-Machine.srd""}]}}"
2,2,2026-02-06 22:38:05.4992706,223,Info,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""SchemaVersion"",""#text"":""29696""},{""@Name"":""Filename"",""#text"":""C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\StateRepository-Deployment.srd""}]}}"
3,3,2026-02-06 22:38:05.5684426,234,Info,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""MachineDisposition"",""#text"":""1""},{""@Name"":""PreviousMachineVersion"",""#text"":""0""},{""@Name"":""DeploymentDisposition"",""#text"":""1""},{""@Name"":""PreviousDeploymentVersion"",""#text"":""0""},{""@Name"":""MigratorErrors"",""#text"":""0""}]}}"
4,4,2026-02-06 22:38:05.6327115,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""AppInstaller""}]}}"
5,5,2026-02-06 22:38:05.6466499,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""AppInstallerUri""}]}}"
6,6,2026-02-06 22:38:05.6545184,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""AppxManifest""}]}}"
7,7,2026-02-06 22:38:05.6591507,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""AutoUpdatePackage""}]}}"
8,8,2026-02-06 22:38:05.6651900,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""ContentGroup""}]}}"
9,9,2026-02-06 22:38:05.6811193,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""ContentGroupFile""}]}}"
10,10,2026-02-06 22:38:05.7043608,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""File""}]}}"
11,11,2026-02-06 22:38:05.7072796,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""PackageAppInstaller""}]}}"
12,12,2026-02-06 22:38:05.7095424,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""PackageSourceUri""}]}}"
13,13,2026-02-06 22:38:05.7095794,284,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""NULL""}]}}"
14,14,2026-02-06 22:38:05.8187544,265,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":[{""@Name"":""ErrorCode"",""#text"":""0x0""},{""@Name"":""Options"",""#text"":""0x0""},{""@Name"":""MachineDatabase_Pages"",""#text"":""0""},{""@Name"":""MachineDatabase_PagesCheckpointed"",""#text"":""0""},{""@Name"":""DeploymentDatabase_Pages"",""#text"":""0""},{""@Name"":""DeploymentDatabase_PagesCheckpointed"",""#text"":""0""}]}}"
15,15,2026-02-06 22:38:05.8340942,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""AppInstaller""}]}}"
16,16,2026-02-06 22:38:05.8343341,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""AppInstallerUri""}]}}"
