datetime,message,timestamp_desc,Timestamp,RuleTitle,Level,Computer,Channel,EventID,RecordID,Details,ExtraFieldInfo,RuleID
2026-03-05 14:58:24.860 +11:00,[med] External Remote RDP Logon from Public IP on vm-final-lab-wo | Channel: Sec | EventID: 4624 | Details: Type: 10 - REMOTE INTERACTIVE ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: vm-final-lab-wo ¦ SrcIP: 64.88.193.156 ¦ LID: 0x47da8d | Extra: AuthenticationPackageName: Negotiate ¦ ElevatedToken: YES ¦ ImpersonationLevel: IMPERSONATION ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LmPackageName: - ¦ LogonGuid: 00000000-0000-0000-0000-000000000000 ¦ LogonProcessName: User32 ¦ ProcessId: 1068 ¦ ProcessName: C:\Windows\System32\svchost.exe ¦ RemoteCredentialGuard: %%1843 ¦ RestrictedAdminMode: NO ¦ SubjectDomainName: WORKGROUP ¦ SubjectLogonId: 0x3e7 ¦ SubjectUserName: vm-final-lab-wo$ ¦ SubjectUserSid: S-1-5-18 ¦ TargetLinkedLogonId: 0x0 ¦ TargetOutboundDomainName: - ¦ TargetOutboundUserName: - ¦ TargetUserSid: S-1-5-21-169698666-362884899-2229521277-500 ¦ TransmittedServices: - ¦ VirtualAccount: NO,Sec Event 4624 - External Remote RDP Logon from Public IP,2026-03-05 14:58:24.860 +11:00,External Remote RDP Logon from Public IP,med,vm-final-lab-wo,Sec,4624,201775,Type: 10 - REMOTE INTERACTIVE ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: vm-final-lab-wo ¦ SrcIP: 64.88.193.156 ¦ LID: 0x47da8d,AuthenticationPackageName: Negotiate ¦ ElevatedToken: YES ¦ ImpersonationLevel: IMPERSONATION ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LmPackageName: - ¦ LogonGuid: 00000000-0000-0000-0000-000000000000 ¦ LogonProcessName: User32 ¦ ProcessId: 1068 ¦ ProcessName: C:\Windows\System32\svchost.exe ¦ RemoteCredentialGuard: %%1843 ¦ RestrictedAdminMode: NO ¦ SubjectDomainName: WORKGROUP ¦ SubjectLogonId: 0x3e7 ¦ SubjectUserName: vm-final-lab-wo$ ¦ SubjectUserSid: S-1-5-18 ¦ TargetLinkedLogonId: 0x0 ¦ TargetOutboundDomainName: - ¦ TargetOutboundUserName: - ¦ TargetUserSid: S-1-5-21-169698666-362884899-2229521277-500 ¦ TransmittedServices: - ¦ VirtualAccount: NO,56a1bb6f-e039-3f65-3ea0-de425cefa8a7
2026-03-05 14:52:22.057 +11:00,[med] Failed Logon From Public IP on vm-final-lab-wo | Channel: Sec | EventID: 4625 | Details: Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ AuthPkg: NTLM ¦ Proc: - | Extra: FailureReason: BAD USER OR PW ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ Status: BAD USER OR PW ¦ SubStatus: WRONG PW ¦ SubjectLogonId: 0x0 ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: MicrosoftAccount ¦ TargetUserSid: S-1-0-0,Sec Event 4625 - Failed Logon From Public IP,2026-03-05 14:52:22.057 +11:00,Failed Logon From Public IP,med,vm-final-lab-wo,Sec,4625,201503,Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ AuthPkg: NTLM ¦ Proc: -,FailureReason: BAD USER OR PW ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ Status: BAD USER OR PW ¦ SubStatus: WRONG PW ¦ SubjectLogonId: 0x0 ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: MicrosoftAccount ¦ TargetUserSid: S-1-0-0,6bcac9cb-eeee-9f45-c5c1-0daaf023ac12
2026-03-05 14:52:52.617 +11:00,[med] Failed Logon From Public IP on vm-final-lab-wo | Channel: Sec | EventID: 4625 | Details: Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ AuthPkg: NTLM ¦ Proc: - | Extra: FailureReason: BAD USER OR PW ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ Status: BAD USER OR PW ¦ SubStatus: WRONG PW ¦ SubjectLogonId: 0x0 ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: MicrosoftAccount ¦ TargetUserSid: S-1-0-0,Sec Event 4625 - Failed Logon From Public IP,2026-03-05 14:52:52.617 +11:00,Failed Logon From Public IP,med,vm-final-lab-wo,Sec,4625,201529,Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ AuthPkg: NTLM ¦ Proc: -,FailureReason: BAD USER OR PW ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ Status: BAD USER OR PW ¦ SubStatus: WRONG PW ¦ SubjectLogonId: 0x0 ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: MicrosoftAccount ¦ TargetUserSid: S-1-0-0,6bcac9cb-eeee-9f45-c5c1-0daaf023ac12
2026-03-05 14:57:42.361 +11:00,[med] Failed Logon From Public IP on vm-final-lab-wo | Channel: Sec | EventID: 4625 | Details: Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ AuthPkg: NTLM ¦ Proc: - | Extra: FailureReason: BAD USER OR PW ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ Status: BAD USER OR PW ¦ SubStatus: WRONG PW ¦ SubjectLogonId: 0x0 ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: MicrosoftAccount ¦ TargetUserSid: S-1-0-0,Sec Event 4625 - Failed Logon From Public IP,2026-03-05 14:57:42.361 +11:00,Failed Logon From Public IP,med,vm-final-lab-wo,Sec,4625,201679,Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ AuthPkg: NTLM ¦ Proc: -,FailureReason: BAD USER OR PW ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ Status: BAD USER OR PW ¦ SubStatus: WRONG PW ¦ SubjectLogonId: 0x0 ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: MicrosoftAccount ¦ TargetUserSid: S-1-0-0,6bcac9cb-eeee-9f45-c5c1-0daaf023ac12
2026-03-05 14:57:58.433 +11:00,[med] Failed Logon From Public IP on vm-final-lab-wo | Channel: Sec | EventID: 4625 | Details: Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ AuthPkg: NTLM ¦ Proc: - | Extra: FailureReason: BAD USER OR PW ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ Status: BAD USER OR PW ¦ SubStatus: WRONG PW ¦ SubjectLogonId: 0x0 ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: MicrosoftAccount ¦ TargetUserSid: S-1-0-0,Sec Event 4625 - Failed Logon From Public IP,2026-03-05 14:57:58.433 +11:00,Failed Logon From Public IP,med,vm-final-lab-wo,Sec,4625,201690,Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ AuthPkg: NTLM ¦ Proc: -,FailureReason: BAD USER OR PW ¦ IpPort: 0 ¦ KeyLength: 0 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ Status: BAD USER OR PW ¦ SubStatus: WRONG PW ¦ SubjectLogonId: 0x0 ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: MicrosoftAccount ¦ TargetUserSid: S-1-0-0,6bcac9cb-eeee-9f45-c5c1-0daaf023ac12
2026-03-05 14:58:20.252 +11:00,[high] External Remote SMB Logon from Public IP on vm-final-lab-wo | Channel: Sec | EventID: 4624 | Details: Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ LID: 0x476ec2 | Extra: AuthenticationPackageName: NTLM ¦ ElevatedToken: YES ¦ ImpersonationLevel: IMPERSONATION ¦ IpPort: 0 ¦ KeyLength: 128 ¦ LmPackageName: NTLM V2 ¦ LogonGuid: 00000000-0000-0000-0000-000000000000 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ ProcessName: - ¦ RemoteCredentialGuard: - ¦ RestrictedAdminMode: - ¦ SubjectDomainName: - ¦ SubjectLogonId: 0x0 ¦ SubjectUserName: - ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: vm-final-lab-wo ¦ TargetLinkedLogonId: 0x0 ¦ TargetOutboundDomainName: - ¦ TargetOutboundUserName: - ¦ TargetUserSid: S-1-5-21-169698666-362884899-2229521277-500 ¦ TransmittedServices: - ¦ VirtualAccount: NO,Sec Event 4624 - External Remote SMB Logon from Public IP,2026-03-05 14:58:20.252 +11:00,External Remote SMB Logon from Public IP,high,vm-final-lab-wo,Sec,4624,201705,Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ LID: 0x476ec2,AuthenticationPackageName: NTLM ¦ ElevatedToken: YES ¦ ImpersonationLevel: IMPERSONATION ¦ IpPort: 0 ¦ KeyLength: 128 ¦ LmPackageName: NTLM V2 ¦ LogonGuid: 00000000-0000-0000-0000-000000000000 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ ProcessName: - ¦ RemoteCredentialGuard: - ¦ RestrictedAdminMode: - ¦ SubjectDomainName: - ¦ SubjectLogonId: 0x0 ¦ SubjectUserName: - ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: vm-final-lab-wo ¦ TargetLinkedLogonId: 0x0 ¦ TargetOutboundDomainName: - ¦ TargetOutboundUserName: - ¦ TargetUserSid: S-1-5-21-169698666-362884899-2229521277-500 ¦ TransmittedServices: - ¦ VirtualAccount: NO,5c67a566-7829-eb05-4a1f-0eb292ef993f
2026-03-05 14:58:22.081 +11:00,[high] External Remote SMB Logon from Public IP on vm-final-lab-wo | Channel: Sec | EventID: 4624 | Details: Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ LID: 0x4781bc | Extra: AuthenticationPackageName: NTLM ¦ ElevatedToken: YES ¦ ImpersonationLevel: IMPERSONATION ¦ IpPort: 0 ¦ KeyLength: 128 ¦ LmPackageName: NTLM V2 ¦ LogonGuid: 00000000-0000-0000-0000-000000000000 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ ProcessName: - ¦ RemoteCredentialGuard: - ¦ RestrictedAdminMode: - ¦ SubjectDomainName: - ¦ SubjectLogonId: 0x0 ¦ SubjectUserName: - ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: vm-final-lab-wo ¦ TargetLinkedLogonId: 0x0 ¦ TargetOutboundDomainName: - ¦ TargetOutboundUserName: - ¦ TargetUserSid: S-1-5-21-169698666-362884899-2229521277-500 ¦ TransmittedServices: - ¦ VirtualAccount: NO,Sec Event 4624 - External Remote SMB Logon from Public IP,2026-03-05 14:58:22.081 +11:00,External Remote SMB Logon from Public IP,high,vm-final-lab-wo,Sec,4624,201713,Type: 3 - NETWORK ¦ TgtUser: vm-final-lab-wombo ¦ SrcComp: LAPTOP-U2VMN6LD ¦ SrcIP: 64.88.193.156 ¦ LID: 0x4781bc,AuthenticationPackageName: NTLM ¦ ElevatedToken: YES ¦ ImpersonationLevel: IMPERSONATION ¦ IpPort: 0 ¦ KeyLength: 128 ¦ LmPackageName: NTLM V2 ¦ LogonGuid: 00000000-0000-0000-0000-000000000000 ¦ LogonProcessName: NtLmSsp ¦ ProcessId: 0 ¦ ProcessName: - ¦ RemoteCredentialGuard: - ¦ RestrictedAdminMode: - ¦ SubjectDomainName: - ¦ SubjectLogonId: 0x0 ¦ SubjectUserName: - ¦ SubjectUserSid: S-1-0-0 ¦ TargetDomainName: vm-final-lab-wo ¦ TargetLinkedLogonId: 0x0 ¦ TargetOutboundDomainName: - ¦ TargetOutboundUserName: - ¦ TargetUserSid: S-1-5-21-169698666-362884899-2229521277-500 ¦ TransmittedServices: - ¦ VirtualAccount: NO,5c67a566-7829-eb05-4a1f-0eb292ef993f
2026-03-05 15:31:44.811 +11:00,[med] Program Executed Using Proxy/Local Command Via SSH.EXE on vm-final-lab-wo | Channel: Sec | EventID: 4688 | Details: Cmdline: ¦ Proc: C:\Windows\System32\OpenSSH\sshd.exe ¦ PID: 4824 ¦ User: vm-final-lab-wo$ ¦ LID: 0x3e7 | Extra: MandatoryLabel: SYSTEM_INTEGRITY ¦ ProcessId: 2848 ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: - ¦ TargetLogonId: 0x0 ¦ TargetUserName: - ¦ TargetUserSid: S-1-0-0 ¦ TokenElevationType: FULL_TOKEN,Sec Event 4688 - Program Executed Using Proxy/Local Command Via SSH.EXE,2026-03-05 15:31:44.811 +11:00,Program Executed Using Proxy/Local Command Via SSH.EXE,med,vm-final-lab-wo,Sec,4688,202911,Cmdline: ¦ Proc: C:\Windows\System32\OpenSSH\sshd.exe ¦ PID: 4824 ¦ User: vm-final-lab-wo$ ¦ LID: 0x3e7,MandatoryLabel: SYSTEM_INTEGRITY ¦ ProcessId: 2848 ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: - ¦ TargetLogonId: 0x0 ¦ TargetUserName: - ¦ TargetUserSid: S-1-0-0 ¦ TokenElevationType: FULL_TOKEN,c9a20835-ce7c-8118-9269-64b5a5e8cbb5
2026-03-05 15:35:10.432 +11:00,[med] Program Executed Using Proxy/Local Command Via SSH.EXE on vm-final-lab-wo | Channel: Sec | EventID: 4688 | Details: Cmdline: ¦ Proc: C:\Windows\System32\OpenSSH\sshd.exe ¦ PID: 7100 ¦ User: vm-final-lab-wo$ ¦ LID: 0x3e7 | Extra: MandatoryLabel: SYSTEM_INTEGRITY ¦ ProcessId: 2848 ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: - ¦ TargetLogonId: 0x0 ¦ TargetUserName: - ¦ TargetUserSid: S-1-0-0 ¦ TokenElevationType: FULL_TOKEN,Sec Event 4688 - Program Executed Using Proxy/Local Command Via SSH.EXE,2026-03-05 15:35:10.432 +11:00,Program Executed Using Proxy/Local Command Via SSH.EXE,med,vm-final-lab-wo,Sec,4688,203074,Cmdline: ¦ Proc: C:\Windows\System32\OpenSSH\sshd.exe ¦ PID: 7100 ¦ User: vm-final-lab-wo$ ¦ LID: 0x3e7,MandatoryLabel: SYSTEM_INTEGRITY ¦ ProcessId: 2848 ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: - ¦ TargetLogonId: 0x0 ¦ TargetUserName: - ¦ TargetUserSid: S-1-0-0 ¦ TokenElevationType: FULL_TOKEN,c9a20835-ce7c-8118-9269-64b5a5e8cbb5
2026-03-05 15:35:14.099 +11:00,[med] Program Executed Using Proxy/Local Command Via SSH.EXE on vm-final-lab-wo | Channel: Sec | EventID: 4688 | Details: Cmdline: ¦ Proc: C:\Windows\System32\OpenSSH\sshd.exe ¦ PID: 5832 ¦ User: vm-final-lab-wo$ ¦ LID: 0x3e7 | Extra: MandatoryLabel: SYSTEM_INTEGRITY ¦ ProcessId: 2848 ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: - ¦ TargetLogonId: 0x0 ¦ TargetUserName: - ¦ TargetUserSid: S-1-0-0 ¦ TokenElevationType: FULL_TOKEN,Sec Event 4688 - Program Executed Using Proxy/Local Command Via SSH.EXE,2026-03-05 15:35:14.099 +11:00,Program Executed Using Proxy/Local Command Via SSH.EXE,med,vm-final-lab-wo,Sec,4688,203078,Cmdline: ¦ Proc: C:\Windows\System32\OpenSSH\sshd.exe ¦ PID: 5832 ¦ User: vm-final-lab-wo$ ¦ LID: 0x3e7,MandatoryLabel: SYSTEM_INTEGRITY ¦ ProcessId: 2848 ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: - ¦ TargetLogonId: 0x0 ¦ TargetUserName: - ¦ TargetUserSid: S-1-0-0 ¦ TokenElevationType: FULL_TOKEN,c9a20835-ce7c-8118-9269-64b5a5e8cbb5
2026-03-05 15:35:14.194 +11:00,[med] Program Executed Using Proxy/Local Command Via SSH.EXE on vm-final-lab-wo | Channel: Sec | EventID: 4688 | Details: Cmdline: ¦ Proc: C:\Windows\System32\OpenSSH\sshd.exe ¦ PID: 5004 ¦ User: vm-final-lab-wo$ ¦ LID: 0x3e7 | Extra: MandatoryLabel: HIGH_INTEGRITY ¦ ProcessId: 5832 ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: VIRTUAL USERS ¦ TargetLogonId: 0x7251c8 ¦ TargetUserName: sshd_5832 ¦ TargetUserSid: S-1-0-0 ¦ TokenElevationType: FULL_TOKEN,Sec Event 4688 - Program Executed Using Proxy/Local Command Via SSH.EXE,2026-03-05 15:35:14.194 +11:00,Program Executed Using Proxy/Local Command Via SSH.EXE,med,vm-final-lab-wo,Sec,4688,203086,Cmdline: ¦ Proc: C:\Windows\System32\OpenSSH\sshd.exe ¦ PID: 5004 ¦ User: vm-final-lab-wo$ ¦ LID: 0x3e7,MandatoryLabel: HIGH_INTEGRITY ¦ ProcessId: 5832 ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: VIRTUAL USERS ¦ TargetLogonId: 0x7251c8 ¦ TargetUserName: sshd_5832 ¦ TargetUserSid: S-1-0-0 ¦ TokenElevationType: FULL_TOKEN,c9a20835-ce7c-8118-9269-64b5a5e8cbb5
