Machine Vulnerabilities Export,13 Mar 2026 11:51 PM +00:00
Name,Severity,CVSS v3,Epss score,Age (days),Published,First detected,Updated,Has Exploit,Has Known Threats,Has Associated Alerts,Related Software,Description
CVE-2026-25177,High,8.8,0.00072,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: Active Directory Domain Services exhibit a vulnerability due to improper restriction of names for files and other resources, enabling an authorized attacker to elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation within a network environment. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-24291,High,7.8,0.00056,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A vulnerability exists in the Microsoft Windows Accessibility Infrastructure (ATBroker.exe) due to incorrect permission assignment for a critical resource. This flaw enables a local authenticated attacker to elevate privileges on the system. Impact: Exploitation of this vulnerability allows an attacker to perform actions with elevated privileges, potentially compromising system integrity and security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25185,Medium,5.3,0.00097,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A vulnerability in Windows Shell Link Processing enables unauthorized actors to access sensitive information, potentially facilitating spoofing attacks over a network. Impact: Exploitation of this vulnerability could lead to unauthorized access to sensitive data and network spoofing, compromising system integrity and confidentiality. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-24287,High,7.8,0.00067,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: The vulnerability in the Microsoft Windows Kernel involves external control of file names or paths, enabling a local authenticated attacker to elevate privileges. Impact: Exploitation of this vulnerability allows an attacker to perform actions with higher privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-24294,High,7.8,0.00055,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: The vulnerability involves improper authentication in the Windows SMB Server, which permits an authorized attacker to elevate privileges locally. Impact: Exploitation of this vulnerability could lead to unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2025-69420,Medium,6.5,0.00199,45,"27 Jan, 2026","26 Feb, 2026","18 Feb, 2026",False,False,False,oracle:openssl;ubuntu:openssl1.0;ubuntu:openssl;openssl:openssl;centos:openssl;centos:openssl-devel;centos:openssl-libs;centos:openssl-perl;red_hat:openssl;red_hat:openssl-devel;red_hat:openssl-libs;red_hat:openssl-perl;debian:openssl;suse:libopenssl-1_1-devel;suse:libopenssl-3-devel;suse:libopenssl-3-fips-provider;suse:libopenssl-3-fips-provider-32bit;suse:libopenssl1_1;suse:libopenssl1_1-32bit;suse:libopenssl3;suse:libopenssl3-32bit;suse:openssl-3;suse:libopenssl-1_0_0-devel;suse:libopenssl10;suse:libopenssl1_0_0;suse:libopenssl1_0_0-hmac;suse:openssl-1_0_0;suse:openssl-1_1;suse:libopenssl-1_1-devel-32bit;suse:libopenssl1_1-hmac;suse:libopenssl1_1-hmac-32bit;suse:libopenssl-1_0_0-devel-32bit;suse:libopenssl1_0_0-32bit;suse:libopenssl1_0_0-hmac-32bit;suse:openssl-1_0_0-doc;suse:libopenssl-devel;suse:openssl;suse:openssl-doc;suse:libopenssl-3-devel-32bit;suse:libopenssl-3-fips-provider-x86-64-v3;suse:libopenssl3-x86-64-v3;suse:openssl-3-doc;suse:libopenssl1_0_0-steam;suse:libopenssl1_0_0-steam-32bit;suse:openssl-1_0_0-cavs;suse:openssl-1_1-doc;amazon:edk2-ovmf;amazon:edk2-tools;amazon:edk2-tools-doc;amazon:edk2-debuginfo;amazon:edk2-aarch64;amazon:openssl;amazon:openssl-libs;amazon:openssl-devel;amazon:openssl-static;amazon:openssl-perl;amazon:openssl-debuginfo;amazon:openssl11;amazon:openssl11-libs;amazon:openssl11-devel;amazon:openssl11-static;amazon:openssl11-debuginfo;amazon:openssl-fips-provider-latest-debuginfo;amazon:openssl-snapsafe-libs-debuginfo;amazon:openssl-libs-debuginfo;amazon:openssl-snapsafe-libs;amazon:openssl-fips-provider-latest;amazon:openssl-debugsource;microsoft:hvloader;microsoft:edk2;microsoft:openssl;alpine:openssl;alma_linux:openssl;alma_linux:openssl-devel;alma_linux:openssl-libs;alma_linux:openssl-perl;wolfi:openssl;chainguard:libcrypto3-2.34;chainguard:openssl;rocky_linux:openssl;rocky_linux:openssl-libs;red_hat:openssl-debuginfo;red_hat:openssl-debugsource;red_hat:openssl-libs-debuginfo;minimus:openssl;vmware:openssl;vmware:openssl-c_rehash;vmware:openssl-devel;vmware:openssl-docs;vmware:openssl-perl;vmware:openssl-libs,"Summary: A type confusion vulnerability (CVE-2025-69420) exists in OpenSSL's TimeStamp Response verification code. This flaw occurs when an ASN1_TYPE union member is accessed without validating its type, potentially leading to an invalid or NULL pointer dereference. Exploitation requires a malformed TimeStamp Response file, causing applications using TS_RESP_verify_response() to crash, resulting in a Denial of Service (DoS). The vulnerability affects OpenSSL versions 3.6, 3.5, 3.4, 3.3, 3.0, and 1.1.1, but not OpenSSL 1.0.2 or FIPS modules. Impact: Exploitation of this vulnerability can result in a Denial of Service (DoS) by crashing applications processing malformed TimeStamp Response files. Remediation: Apply the latest patches and updates provided by the respective vendors. AdditionalInformation: The TimeStamp protocol (RFC 3161) is not widely used, and the vulnerability is assessed as low severity due to its limited impact scope. The issue does not affect OpenSSL FIPS modules as the TimeStamp Response implementation is outside their boundary. Generated by AI"
CVE-2026-25179,High,7.0,0.00047,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: The Windows Ancillary Function Driver for WinSock contains a vulnerability due to improper validation of specific input types, which could allow an authorized attacker to locally elevate privileges. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, potentially compromising system integrity. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-23672,High,7.8,0.00044,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: The vulnerability exists in the Windows Universal Disk Format File System Driver (UDFS), where an error could allow a local authenticated attacker to gain elevated privileges on the system. Impact: Exploitation of this vulnerability could enable an attacker to perform actions with higher privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25168,Medium,6.2,0.00038,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A null pointer dereference vulnerability exists in the Microsoft Graphics Component, which can be exploited by unauthorized attackers to cause a denial of service locally. Impact: Exploitation of this vulnerability can result in a denial of service, disrupting the normal operation of the affected system. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2025-69421,Low,3.3,0.00065,46,"26 Jan, 2026","26 Feb, 2026","28 Feb, 2026",False,False,False,oracle:openssl;ubuntu:openssl1.0;ubuntu:openssl;openssl:openssl;centos:openssl;centos:openssl-devel;centos:openssl-libs;centos:openssl-perl;red_hat:openssl;red_hat:openssl-devel;red_hat:openssl-libs;red_hat:openssl-perl;debian:openssl;suse:libopenssl-1_1-devel;suse:libopenssl-3-devel;suse:libopenssl-3-fips-provider;suse:libopenssl-3-fips-provider-32bit;suse:libopenssl1_1;suse:libopenssl1_1-32bit;suse:libopenssl3;suse:libopenssl3-32bit;suse:openssl-3;suse:libopenssl-1_0_0-devel;suse:libopenssl10;suse:libopenssl1_0_0;suse:libopenssl1_0_0-hmac;suse:openssl-1_0_0;suse:openssl-1_1;suse:libopenssl-1_1-devel-32bit;suse:libopenssl1_1-hmac;suse:libopenssl1_1-hmac-32bit;suse:libopenssl-1_0_0-devel-32bit;suse:libopenssl1_0_0-32bit;suse:libopenssl1_0_0-hmac-32bit;suse:openssl-1_0_0-doc;suse:libopenssl-devel;suse:openssl;suse:openssl-doc;suse:libopenssl-3-devel-32bit;suse:libopenssl-3-fips-provider-x86-64-v3;suse:libopenssl3-x86-64-v3;suse:openssl-3-doc;suse:libopenssl1_0_0-steam;suse:libopenssl1_0_0-steam-32bit;suse:openssl-1_0_0-cavs;suse:openssl-1_1-doc;amazon:edk2-ovmf;amazon:edk2-tools;amazon:edk2-tools-doc;amazon:edk2-debuginfo;amazon:edk2-aarch64;amazon:openssl;amazon:openssl-libs;amazon:openssl-devel;amazon:openssl-static;amazon:openssl-perl;amazon:openssl-debuginfo;amazon:openssl11;amazon:openssl11-libs;amazon:openssl11-devel;amazon:openssl11-static;amazon:openssl11-debuginfo;amazon:openssl-fips-provider-latest-debuginfo;amazon:openssl-snapsafe-libs-debuginfo;amazon:openssl-libs-debuginfo;amazon:openssl-snapsafe-libs;amazon:openssl-fips-provider-latest;amazon:openssl-debugsource;microsoft:openssl;microsoft:hvloader;microsoft:edk2;alpine:openssl;alma_linux:openssl;alma_linux:openssl-devel;alma_linux:openssl-libs;alma_linux:openssl-perl;wolfi:openssl;chainguard:libcrypto3-2.34;chainguard:openssl;rocky_linux:openssl;rocky_linux:openssl-libs;red_hat:openssl-debuginfo;red_hat:openssl-debugsource;red_hat:openssl-libs-debuginfo;minimus:openssl;vmware:openssl;vmware:openssl-c_rehash;vmware:openssl-devel;vmware:openssl-docs;vmware:openssl-perl;vmware:openssl-libs,"Summary: A vulnerability in OpenSSL allows a Denial of Service (DoS) attack through a NULL pointer dereference in the PKCS12_item_decrypt_d2i_ex() function when processing malformed PKCS#12 files. This issue arises because the function does not validate the 'oct' parameter before dereferencing it, potentially causing an application crash. The vulnerability is limited to DoS and does not enable code execution or memory disclosure. Impact: Exploitation of this vulnerability can lead to application crashes, resulting in a Denial of Service. It does not allow for code execution or memory disclosure. Remediation: Apply the latest patches and updates provided by the respective vendors. AdditionalInformation: The issue affects OpenSSL versions 3.6, 3.5, 3.4, 3.3, 3.0, 1.1.1, and 1.0.2. FIPS modules in these versions are not impacted as the PKCS#12 implementation is outside the OpenSSL FIPS module boundary. Generated by AI"
