Security Recommendations Export,13 Mar 2026 11:50 PM +00:00
Security recommendation,Weaknesses,Related component,Has Exploit,Has Known Threats,Has Associated Alerts,Exposed Machines,Total Machines,Status,Type,Exposure Score impact,Configuration Score impact,EOS software state,EOS software from,Has EOS Versions,Has Upcoming EOS Versions,Tags
Update Microsoft Windows Server 2025 (OS and built-in applications),38,Windows Server 2025,False,False,False,1,0,Active,Software update,0.00,0.00,,,False,False,
Attention Required: vulnerabilities in Openssl,12,Openssl,False,False,False,1,0,Active,Attention Required,0.00,0.00,,,False,False,
Require LDAP client signing to prevent tampering and protect directory authentication,1,Network,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Encrypt LDAP client traffic to protect sensitive data in transit,1,Network,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable Remote Registry Service on Windows,1,OS (Services),False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable NTLM authentication for Windows,1,Network,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Turn on Tamper Protection,1,Security controls (Antivirus),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set controlled folder access to enabled or audit mode,1,Security controls (Exploit Guard),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Secure Microsoft Defender Firewall domain profile,1,Security controls (Firewall),False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Secure Microsoft Defender firewall private profile,1,Security controls (Firewall),False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Secure Microsoft Defender Firewall public profile,1,Security controls (Firewall),False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Turn on Microsoft Defender Credential Guard,1,Security controls (Credential Guard),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Encrypt all BitLocker-supported drives,1,Security controls (Bitlocker),False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Enable 'Local Security Authority (LSA) protection',1,OS,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block executable content from email client and webmail,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block all Office applications from creating child processes,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block Office applications from creating executable content,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block Office applications from injecting code into other processes,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block JavaScript or VBScript from launching downloaded executable content,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block execution of potentially obfuscated scripts,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
"Block executable files from running unless they meet a prevalence, age, or trusted list criterion",1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Use advanced protection against ransomware,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block credential stealing from the Windows local security authority subsystem (lsass.exe),1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block process creations originating from PSExec and WMI commands,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block untrusted and unsigned processes that run from USB,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block Office communication application from creating child processes,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block Adobe Reader from creating child processes,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block persistence through WMI event subscription,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block abuse of exploited vulnerable signed drivers,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block use of copied or impersonated system tools,1,Security controls (Attack Surface Reduction),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Block rebooting machine in Safe Mode,1,Security controls (Attack Surface Reduction),False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set User Account Control (UAC) to automatically deny elevation requests,1,OS,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable 'Enumerate administrator accounts on elevation',1,OS,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
